"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3092369477912","27.3092369477912","27.6859504132231","27.6859504132231","27.3092369477912","27.710843373494","27.710843373494","27.710843373494","27.710843373494","27.710843373494","27.710843373494","27.710843373494","27.710843373494","","27.8688524590164","27.0161290322581",
"Angola","AGO","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.54545454545455","15.4545454545455","15.4545454545455","15.4545454545455","15.4545454545455","15.4545454545455","15.4545454545455","15","15","15","15","37.2727272727273","38.6363636363636","38.6363636363636","38.1818181818182","34.0909090909091","34.0909090909091","36.8181818181818","36.8181818181818","36.8181818181818","30.4545454545455","30.4545454545455","30","30",
"Albania","ALB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.16129032258065","5.16129032258065","5.71428571428571","5.71428571428571","5.71428571428571","6.42857142857143","7.14285714285714","7.14285714285714","7.14285714285714","7.14285714285714","16.4285714285714","16.4285714285714","15.7142857142857","15.7142857142857","17.8571428571429","20","20.7142857142857","22.8571428571429","27.8571428571429","27.8571428571429","29.5081967213115","29.5081967213115",
"Andorra","AND","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.14285714285714","7.14285714285714","7.14285714285714","7.14285714285714","14.2857142857143","14.2857142857143","14.2857142857143","14.2857142857143","28.5714285714286","28.5714285714286","28.5714285714286","25","35.7142857142857","35.7142857142857","50","50","50","50","39.2857142857143","32.1428571428571","32.1428571428571","32.1428571428571","46.4285714285714","46.4285714285714",
"Arab World","ARB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.74716124148373","3.45744680851064","3.61677568295498","3.77068103116583","4.62126476719944","6.13093176307586","6.04810996563574","6.69304319155952","7.03676649622597","9.34959349593497","9.7537652402582","9.80157781496534","9.90230905861456","11.919671777154","11.3285024154589","14.87204249155","17.3693086003373","17.7934018388318","18.7798408488064","19.2756139915654","18.8840212128199","19.060773480663","17.5665399239544","17.8190137264871",
"United Arab Emirates","ARE","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","5","22.5","22.5","22.5","22.5","17.5","17.5","17.5","17.5","22.5","22.5","22.5","22.5","50","50",
"Argentina","ARG","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6264591439689","27.6264591439689","","26.4591439688716","","30.7392996108949","30.7392996108949","33.7254901960784","36.1867704280156","35.0194552529183","40","40","38.5214007782101","38.5214007782101","37.3540856031128","37.3540856031128","36.5758754863813","36.5758754863813","","35.7976653696498","38.1322957198444","38.9105058365759","40.1574803149606","40.8560311284047",
"Armenia","ARM","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.31578947368421","6.31578947368421","3.05343511450382","3.05343511450382","3.05343511450382","3.05343511450382","4.58015267175572","5.34351145038168","5.34351145038168","5.34351145038168","9.16030534351145","8.3969465648855","9.16030534351145","9.16030534351145","8.3969465648855","10.6870229007634","10.6870229007634","10.6870229007634","10.6870229007634","10.6870229007634","18.0952380952381","18.0952380952381","23.4848484848485","23.4848484848485",
"American Samoa","ASM","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
